Date,IL confirmed,IN confirmed,IL deaths,IN deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,0,0,0
2020-01-25,1,0,0,0
2020-01-26,1,0,0,0
2020-01-27,1,0,0,0
2020-01-28,1,0,0,0
2020-01-29,1,0,0,0
2020-01-30,1,0,0,0
2020-01-31,2,0,0,0
2020-02-01,2,0,0,0
2020-02-02,2,0,0,0
2020-02-03,2,0,0,0
2020-02-04,2,0,0,0
2020-02-05,2,0,0,0
2020-02-06,2,0,0,0
2020-02-07,2,0,0,0
2020-02-08,2,0,0,0
2020-02-09,2,0,0,0
2020-02-10,2,0,0,0
2020-02-11,2,0,0,0
2020-02-12,2,0,0,0
2020-02-13,2,0,0,0
2020-02-14,2,0,0,0
2020-02-15,2,0,0,0
2020-02-16,2,0,0,0
2020-02-17,2,0,0,0
2020-02-18,2,0,0,0
2020-02-19,2,0,0,0
2020-02-20,2,0,0,0
2020-02-21,2,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,2,0,0,0
2020-02-25,2,0,0,0
2020-02-26,2,0,0,0
2020-02-27,2,0,0,0
2020-02-28,2,0,0,0
2020-02-29,2,0,0,0
2020-03-01,3,0,0,0
2020-03-02,4,0,0,0
2020-03-03,4,0,0,0
2020-03-04,4,0,0,0
2020-03-05,5,0,0,0
2020-03-06,5,1,0,0
2020-03-07,6,1,0,0
2020-03-08,7,2,0,0
2020-03-09,13,6,0,0
2020-03-10,19,10,0,0
2020-03-11,24,10,0,0
2020-03-12,32,12,0,0
2020-03-13,46,12,0,0
2020-03-14,63,19,0,0
2020-03-15,92,19,0,0
2020-03-16,104,30,0,2
2020-03-17,159,30,1,2
2020-03-18,287,35,1,4
2020-03-19,421,55,4,5
2020-03-20,584,123,5,5
2020-03-21,752,123,6,9
2020-03-22,1049,200,8,14
2020-03-23,1285,258,11,19
2020-03-24,1536,360,16,24
2020-03-25,1864,478,18,29
2020-03-26,2540,960,26,35
2020-03-27,3027,960,29,44
2020-03-28,3491,1232,47,47
2020-03-29,4596,1513,65,57
2020-03-30,5057,1783,72,75
2020-03-31,5993,2159,99,90
2020-04-01,6972,2564,139,111
